window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,Label,missing_firmware_fields
195,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
200,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.64,-68,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.64,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
205,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
210,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.6,0.24,0.19999999999998863,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
215,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
220,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
225,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
230,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.8,0.16,0.3999999999999915,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
235,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.8,0.16,0.3999999999999915,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
240,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.0,0.0,-67,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.0,0.0,0.5999999999999943,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
