window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
165,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.2,0.16,-53,-52,0,False,4,False,4,False,0,0,,,,0.0,-52.2,0.16,3.5999999999999943,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
170,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.6,0.24,-53,-52,0,False,4,False,4,False,0,0,,,,0.0,-52.6,0.24,3.1999999999999957,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
175,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.6,0.6399999999999999,-54,-52,0,False,4,False,4,False,0,0,,,,0.0,-52.6,0.6399999999999999,3.1999999999999957,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
180,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.0,4.4,-54,-48,0,False,4,False,4,False,0,0,,,,0.0,-52.0,4.4,3.799999999999997,,,,,0.0,0,4.0,2.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
185,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.2,2.96,-54,-49,0,False,4,False,4,False,0,0,,,,0.0,-52.2,2.96,3.5999999999999943,,,,,0.0,0,4.0,2.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
190,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-53.4,1.4400000000000002,-55,-52,0,False,4,False,4,False,0,0,,,,0.0,-53.4,1.4400000000000002,2.3999999999999986,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
195,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-54.0,2.0,-56,-52,0,False,4,False,4,False,0,0,,,,0.0,-54.0,2.0,1.7999999999999972,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
200,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-52.8,1.3599999999999999,-55,-52,0,False,4,False,4,False,0,0,,,,0.0,-52.8,1.3599999999999999,3.0,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
205,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-53.0,0.4,-54,-52,0,False,4,False,4,False,0,0,,,,0.0,-53.0,0.4,2.799999999999997,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
210,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-53.8,0.5599999999999999,-55,-53,0,False,4,False,4,False,0,0,,,,0.0,-53.8,0.5599999999999999,2.0,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
215,NODE_B0CBD8F33218,child_COM21_linear_blackhole_r1_20260715_195432_telem.csv,victim,3,B4:BF:E9:32:FE:91,5,5,-54.2,0.5599999999999999,-55,-53,0,False,4,False,4,False,0,0,,,,0.0,-54.2,0.5599999999999999,1.5999999999999943,,,,,0.0,0,4.0,4.0,1.0,True,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
