window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,_pdr_clipped,Label,missing_firmware_fields
125,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.8,2.1599999999999997,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.8,2.1599999999999997,6.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
130,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.8,3.3599999999999994,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.8,3.3599999999999994,7.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
135,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.0,4.4,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.0,4.4,6.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
140,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.6,4.640000000000001,-56.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.6,4.640000000000001,6.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
145,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.2,1.3599999999999999,-55.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.2,1.3599999999999999,5.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
150,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.8,3.7600000000000002,-56.0,-51.0,0.0,False,5.0,False,4.0,False,0.0,0.0,,,,0.0,-53.8,3.7600000000000002,6.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
155,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.0,2.4,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.0,2.4,8.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
160,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.8,3.3599999999999994,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.8,3.3599999999999994,7.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
165,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.0,2.8,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.0,2.8,7.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
170,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.6,0.24,-55.0,-54.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.6,0.24,5.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
175,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.6,3.8400000000000007,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.6,3.8400000000000007,7.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
180,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.6,3.44,-55.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.6,3.44,6.399999999999999,,0.0,0.0,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
185,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.0,2.8,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.0,2.8,7.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
190,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.2,3.3599999999999994,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.2,3.3599999999999994,6.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
195,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.0,6.0,-55.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.0,6.0,7.0,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
200,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-51.6,1.4400000000000004,-54.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-51.6,1.4400000000000004,8.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
205,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.2,1.7599999999999998,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.2,1.7599999999999998,6.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
210,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-52.6,2.6399999999999997,-55.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-52.6,2.6399999999999997,7.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
215,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.6,1.8400000000000003,-56.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.6,1.8400000000000003,5.399999999999999,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
220,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,4,5,-55.0,0.0,-55.0,-55.0,0.0,False,3.0,False,3.0,False,0.0,0.0,,,,0.0,-55.0,0.0,5.0,,0.0,0.0,,0.0,0,3.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
225,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-54.8,2.1599999999999997,-56.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-54.8,2.1599999999999997,5.200000000000003,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
230,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.6,3.44,-55.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.6,3.44,6.399999999999999,,0.0,0.0,,0.0,0,4.0,3.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
235,NODE_B0CBD8F33218,victim_COM10_tree_wormhole_r1_20260708_234354_telem.csv,wormhole_b,2.0,B4:BF:E9:34:ED:81,5,5,-53.2,2.5599999999999996,-54.0,-50.0,0.0,False,4.0,False,4.0,False,0.0,0.0,,,,0.0,-53.2,2.5599999999999996,6.799999999999997,,0.0,0.0,,0.0,0,4.0,4.0,1.0,True,0.0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
